nu,enu,nulnu,lnulnu,unulnu
9.2121876,0,38.36916885,38.36916885,38.36916885
9.69897,0,38.75795414,38.75795414,38.75795414
9.92376196,0,39.08074321,39.08074321,39.08074321
10.17609126,0,39.81499264,39.81499264,39.81499264
14.56110138,0,39.76870455,39.76870455,39.76870455
14.64443859,0,39.65113584,39.65113584,39.65113584
14.73319727,0,39.58673353,39.58673353,39.58673353
17.68448743,0.,40.56640277,40.40963956,40.7696082
17.84418827,0.,40.6670143,40.56934041,40.78557828
17.96069384,0.,40.74041281,40.68584598,40.79722884
18.05246422,0.,40.79822814,40.77761635,40.80640588
18.12818493,0.,40.84593219,40.81397795,40.85333706
18.19264292,0.,40.88654073,40.82042375,40.91779505
18.24875886,0.,40.92189377,40.82603534,40.97391099
18.29844665,0.,40.95319707,40.83100412,41.02359878
18.34302878,0.,40.98128382,40.83546233,41.06818091
18.38345744,0.,41.00675387,40.8395052,41.10860957
