nu,enu,nulnu,lnulnu,unulnu
9.176091259,0,32.01703334,32.01703334,32.01703334
9.176091259,0,31.5899496,31.5899496,31.5899496
9.220108088,0,31.90525605,31.90525605,31.90525605
9.361727836,0,32.34242268,32.30103,32.38021124
9.431363764,0,32.23044892,32.23044892,32.23044892
9.431363764,0,31.99033885,31.99033885,31.99033885
9.698970004,0,32.161368,32.161368,32.161368
9.698970004,0,31.85308953,31.85308953,31.85308953
9.908485019,0,32.79448805,32.79448805,32.79448805
9.908485019,0,32.60314437,32.60314437,32.60314437
9.919078092,0,32.93449845,32.89762709,32.96848295
9.924279286,0,32.89042102,32.89042102,32.89042102
9.924279286,0,32.6009729,32.6009729,32.6009729
10.17609126,0,33.32221929,33.32221929,33.32221929
10.17609126,0,32.93951925,32.93951925,32.93951925
10.17609126,0,33.17318627,33.15533604,33.1903317
10.34242268,0,33.6009729,33.6009729,33.6009729
10.34242268,0,33.18184359,33.18184359,33.18184359
10.34242268,0,33.30963017,33.24303805,33.36735592
10.36172784,0,33.38021124,33.20411998,33.50514998
10.63346846,0,33.71600334,33.68124124,33.74818803
10.93449845,0,33.98542647,33.98542647,33.98542647
10.93449845,0,33.8920946,33.8920946,33.8920946
10.93449845,0,34.01703334,33.94939001,34.07554696
11.34242268,0,34.6599162,34.55870857,34.74193908
11.36172784,0,34.69635639,34.69635639,34.69635639
11.36172784,0,34.71600334,34.70586371,34.72591163
11.54406804,0,35.161368,35.0374265,35.25767857
11.57403127,0,35.05307844,34.98677173,35.11058971
11.69897,0,35.71516736,35.66931688,35.75663611
11.8260748,0,35.24054925,35.06445799,35.36548798
11.93449845,0,35.71600334,35.70329138,35.72835378
11.93449845,0,36.13987909,35.85125835,36.31175386
17.60093854,0,34.20411998,34.20411998,34.20411998
18.16160584,0,34.20411998,34.20411998,34.20411998
